userid,model_name,questiontext,questiontype,pov_x_y_z,upvector,viewdir,fov
4d4f1b0c-802d-4007-9a73-424d2e766659,shoe1.glb,Which shoe is more suitable for running?,multi_model,"{0.043313906,1.1556371,0.65048707}","{0,1,0}","{-0.032644387,-0.8709689,-0.4902525}",75
4d4f1b0c-802d-4007-9a73-424d2e766659,plate1.glb,Which plate do you prefer?,multi_model,"{-1.9354311,1.2081981,-1.7310541}","{0,1,0}","{0.67579186,-0.42186487,0.60442984}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,statue.glb,Which of these artifacts is the oldest?,multi_model,"{0.66988134,-0.18076585,2.6307895}","{0,1,0}","{-0.24621217,0.066439755,-0.96693605}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,backpack.glb,Which backpack would you take to the mountains?,multi_model,"{1.6270547,2.3043852,-1.7890056}","{0,1,0}","{-0.4870889,-0.6898602,0.5355719}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,table.glb,Which desk would you choose for your home?,multi_model,"{1.0092198,-0.021661557,1.2785492}","{0,1,0}","{-0.6195286,0.013297355,-0.7848615}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,car1.glb,Which car looks faster to you?,multi_model,"{1.080013,0.10281964,1.1036067}","{0,1,0}","{-0.6978803,-0.066439755,-0.71312606}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,camera2.glb,Which camera looks more professional to you?,multi_model,"{2.4030898,1.2291456,-0.34180656}","{0,1,0}","{-0.8832459,-0.45176753,0.12562962}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,plant.glb,Which plant would you prefer on your balcony?,multi_model,"{-1.7924913,0.8989515,1.1917876}","{0,1,0}","{0.7684186,-0.38536927,-0.51090443}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,forniture.glb,Where would you place this pieces of furniture?,single_model,"{1.2238474,0.30684224,1.0304013}","{0,1,0}","{-0.7512818,-0.18836088,-0.6325313}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,bag.glb,Which bag is more practical?,multi_model,"{-1.2926508,1.3903971,0.9099355}","{0,1,0}","{0.61400914,-0.6604386,-0.43221936}",75
5954cfb3-92e5-4402-9ffb-88a9e8086c95,shoe.glb,Which shoe is more suitable for running?,multi_model,"{-1.2446094,0.36189646,0.8455332}","{0,1,0}","{0.8042388,-0.23384942,-0.5463647}",75
e6a20daf-6dd4-49f5-bd3f-2286f1a39de6,statue1.glb,Which of these artifacts is the oldest?,multi_model,"{0.9212645,0.013297649,1.7751323}","{0,1,0}","{-0.46063226,-0.0066488246,-0.88756615}",75
74d89e88-377b-487f-acf8-14af25a24782,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{0.4704649,-0.040813483,2.4096382}","{0,1,0}","{-0.1915983,0.016621418,-0.98133266}",75
74d89e88-377b-487f-acf8-14af25a24782,mug2.glb,Which cup would you prefer as a gift?,multi_model,"{1.791109,0.57596236,3.1873722}","{0,1,0}","{-0.4839219,-0.15561354,-0.86116433}",75
74d89e88-377b-487f-acf8-14af25a24782,table.glb,Which desk would you choose for your home?,multi_model,"{-0.043943275,1.1266401,1.6518931}","{0,1,0}","{0.021971637,-0.56332004,-0.82594657}",75
74d89e88-377b-487f-acf8-14af25a24782,table2.glb,Which desk would you choose for your home?,multi_model,"{-0.23483028,1.3564557,2.3467753}","{0,1,0}","{0.086310916,-0.49855977,-0.8625477}",75
74d89e88-377b-487f-acf8-14af25a24782,car1.glb,Which car looks faster to you?,multi_model,"{-1.8333305,0.46271536,0.18653081}","{0,1,0}","{0.9649108,-0.2435344,-0.09817411}",75
74d89e88-377b-487f-acf8-14af25a24782,knife.glb,What is this knife suitable for?,single_model,"{-0.35548857,0.0020964837,1.2093307}","{0,1,0}","{0.28202212,-0.0016632176,-0.95940644}",75
74d89e88-377b-487f-acf8-14af25a24782,camera2.glb,Which camera looks more professional to you?,multi_model,"{1.0128902,1.0626413,0.079292685}","{0,1,0}","{-0.68895483,-0.7227949,-0.053933855}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue1.glb,Which of these artifacts is the oldest?,multi_model,"{0,1.2246469e-16,2}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue1.glb,Which of these artifacts is the oldest?,multi_model,"{0.9368685,0.13287951,1.7619933}","{0,1,0}","{-0.46843424,-0.066439755,-0.88099664}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue1.glb,Which of these artifacts is the oldest?,multi_model,"{-1.9039888,-0.02659471,0.61165303}","{0,1,0}","{0.9519944,0.013297355,-0.30582651}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue1.glb,Which of these artifacts is the oldest?,multi_model,"{-0.8246561,0.69652086,1.6836867}","{0,1,0}","{0.41232806,-0.34826043,-0.84184337}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue1.glb,Which of these artifacts is the oldest?,multi_model,"{-0.3827212,0.86941916,2.861106}","{0,1,0}","{0.12695253,-0.28839523,-0.9490581}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{0,1.2246469e-16,2}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{0.7801409,-1.1753478,2.165795}","{0,1,0}","{-0.30182907,0.45473087,-0.83792543}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{-1.9722508,-1.2058547,1.1562315}","{0,1,0}","{0.7630451,0.46653366,-0.44733495}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{-2.2909038,0.08591125,1.1937793}","{0,1,0}","{0.8863289,-0.033238243,-0.46186185}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{1.6049726,0.1631529,2.019449}","{0,1,0}","{-0.6209486,-0.0631223,-0.7813056}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{0.35105398,-0.07732283,2.5595922}","{0,1,0}","{-0.13581944,0.029915467,-0.9902819}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{-2.1031306,0.6627454,-1.3484586}","{0,1,0}","{0.8136812,-0.25640988,0.5217058}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{0.47782215,-0.1288372,2.5368912}","{0,1,0}","{-0.18486483,0.049845885,-0.9814991}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue.glb,Which of these artifacts is the oldest?,multi_model,"{0.78590304,-0.75360256,2.8111799}","{0,1,0}","{-0.26069206,0.24997766,-0.9324971}",75
74d89e88-377b-487f-acf8-14af25a24782,armchair2.glb,Which armchair would you sit on to read a book?,multi_model,"{0,9.476083e-17,1.5475619}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{0,1.2246469e-16,2}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{0,1.0499816e-16,1.71475}","{0,1,0}","{0,-6.123234e-17,-1}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{1.316224,0.2583036,1.6226419}","{0,1,0}","{-0.62520635,-0.12269422,-0.77075493}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{-1.7570643,-0.30685082,1.1183472}","{0,1,0}","{0.8346056,0.14575414,-0.53121495}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{0.06411339,0.84348136,1.9278386}","{0,1,0}","{-0.030453863,-0.40065366,-0.9157233}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{1.6322109,0.055983912,1.3284903}","{0,1,0}","{-0.77530015,-0.026592359,-0.6310329}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,statue2.glb,Which of these artifacts is the oldest?,multi_model,"{1.6971829,0.63389915,1.0723222}","{0,1,0}","{-0.8061619,-0.3011021,-0.5093531}",75
af40d634-feb3-47bc-94bb-0da6accd57ba,mug.glb,Which cup would you prefer as a gift?,multi_model,"{0.031874217,1.8282557,2.3968225}","{0,1,0}","{-0.010573003,-0.6064511,-0.7950505}",75
